name,address1,address2,town,postcode,access_notes,general_notes,url,lat,lng,phone,fax,text_phone
Lloyd Street,Llandudno,Conwy,,LL30 2UP,,,http://www.conwy.gov.uk/dratozdetail.asp?cat=112&doc=1119&azkey=r&offset=10&azid=403 ,53.32408123210874,-3.830980323451631,,,
Morfa Clwyd,Marsh Road,Rhyl,,LL18 2AF,,,http://www.denbighshire.gov.uk/en-gb/DNAP-74ZLKD,53.314349424923876,-3.4919056366183923,,,
Llwynegrin Hall,Mold,Flintshire,,CH7 6NW,,,http://www.flintshire.gov.uk/wps/portal/english/services?WCM_GLOBAL_CONTEXT=/Web%20Content/flintshire/english/services/100003/200067/llwynegrin+hall+register+office,53.17800550080092,-3.1374813380052142,,,
Ty Dewi Sant,Rhosddu Road,Wrexham,,LL11 1NF,,,http://www.wrexham.gov.uk/english/life_events/bereavement/register_office.htm ,53.04851735434147,-2.9944520988974497,,,
County Hall,Spa Road East,Powys,,LD1 5LG,,,http://www.powys.gov.uk/index.php?id=39&L=0,52.23779015822544,-3.373006514871637,,,
Town Hall,Aberystwyth,Ceredigion,,SA46 0PA,,,http://www.ceredigion.gov.uk/index.cfm?articleid=116&detailid=671,52.239567770519066,-4.266381923539022,,,
Tower Hill,Haverfordwest,,,SA61 1SS,,,http://www.pembrokeshire.gov.uk/content.asp?nav=&id=6038&Positioning_Article_ID=&Language=&parent_directory_id=516&d1=0 ,51.80084057247736,-4.972314672300777,,,
Parc Myrddyn,Richmond Terrace,Carmarthen,,SA31 1DS,,,http://www.carmarthenshire.gov.uk/Pages/default.aspx ,51.86149532894685,-4.306566274271019,,,
Civic Centre,Oystermouth Road,Swansea,,SA1 3SN,,,http://www.swansea.gov.uk/index.cfm?articleid=1458&contactid=2150 ,51.61371881214104,-3.9483524779402353,,,
119 London Road,Neath,,,SA11 1HL,,,http://www.npt.gov.uk/registrars/index.cfm,51.65910014830285,-3.8039662360917044,,,
Civic Offices,Angel Street,Bridgend,,CF31 4WB,,,http://www.bridgend.gov.uk/Web1/groups/public/documents/services/000856.hcsp#TopOfPage,51.50580570063178,-3.5804083146250196,,,
Civic Offices,Holton Road,Barry,,CF63 4RU,,,http://www.valeofglamorgan.gov.uk/living/life_in_the_community/registry_-_life_events.aspx,51.403435981240335,-3.27171440590976,,,
One 4 All Centre,Rock Grounds,Aberdare,,CF44 7AE,,,http://www.rhondda-cynon-taff.gov.uk/stellent/groups/public/documents/hcst/landing_page.hcst?lang=en&textonly=false&xNodeID=100003,51.712436521530655,-3.4477187222942893,,,
Castle House,Glebeland Street,Merthyr Tydfil,,CF47 8AT,,,http://www.merthyr.gov.uk/Home/Local+Services/Registrars+Births+Deaths+Marriages/Contact+Us.htm,51.74675807095691,-3.378952252937662,,,
Penallta House,Tredomen Park,Hengoed,,CF82 7PG,,,http://www.caerphilly.gov.uk/registration/ ,51.645032064560496,-3.249847772012611,,,
The Grove,Church Street,Tredegar,,NP22 3DS,,,http://www.blaenau-gwent.gov.uk/community.asp,51.77964891592936,-3.2453168438064584,,,
Hanbury Road,Pontypool,,,NP4 6YG,,,http://www.torfaen.gov.uk/CommunityAndLiving/Home.aspx,51.70066815169991,-3.038983164402768,,,
Coed Glas,Coed Glas Lane,Abergavenny,,NP7 5LE,,,http://www.monmouthshire.gov.uk/Monmouth/English/Community_and_Living/Community/Births/ ,51.82088388457382,-3.008971620599058,,,
8 Gold Tops,Newport,South Wales,,NP20 4PH,,,http://www.newport.gov.uk/_dc/index.cfm?fuseaction=registrars.homepage,51.58983341930135,-3.004391720847676,,,
48 Park Place,Cardiff,,,CF10 3LU,,,"http://www.cardiff.gov.uk/content.asp?Parent_Directory_id=2865&nav=2867,2903,2915,4451",51.488415529011185,-3.1783107858051296,,,
