name,address,Address Line 2,Address Line 3,town,postcode,url
Bedford Borough Council - Register Office,Town Hall,Cauldwell Street,Bedford,,MK42 9AP,http://www.bedford.gov.uk/advice_and_benefits/registration_service.aspx
Buckinghamshire County Council - Register Office,County Hall,Walton Street,Aylesbury,,HP20 1XF,http://www.buckscc.gov.uk/registration/index.stm
Cambridgeshire County Council - Register Office,Shire Hall,Castle Hill,Cambridge,,CB3 0AP,http://www.cambridgeshire.gov.uk/community/bmd/
Cornwall Council - Register Office,County Hall,Treyew Road,Truro,,TR1 3AY,http://www.cornwall.gov.uk/registration
Cumbria County Council - Register Office,The Courts,English Street,Carlisle,,CA3 8NA,http://www.cumbria.gov.uk/registration/wheretofindus/default.asp
Derbyshire County Council - Register Office,County Hall,Matlock,,,DE4 3NN,http://www.derbyshire.gov.uk/community/births_marriages_deaths/
Devon County Council - Register Office,County Hall,Exeter,Devon,,EX2 4QD,http://www.devon.gov.uk/index/community/the_people/registration_districts_in_devon.htm
Dorset County Council - Register Office,County Hall,Colliton Park,Dorchester,,DT1 1XJ,http://www.dorsetforyou.com/index.jsp?articleid=384327
Durham Council - Register Office,40 Old Elvet,Durham City,,,DH1 3HN,http://www.durham.gov.uk/durhamcc/usp.nsf/pws/Registrar+-+Register+Office+locations+and+contact+details
East Sussex County Council - Register Office,County Hall,St. Annes Cresent,Lewes,,BN7 1UE,http://www.eastsussex.gov.uk/atoz/heading785.aspx?forms &acc 1&ae 1&ah 1&al 1&ar
Essex County Council - Register Office,17 Market Road,Chelmsford,,,CM1 1GF,http://www.essexcc.gov.uk/vip8/ecc/ECCWebsite/display/channels/births_marriages_deaths_channel_640771_Living/contacts/index.jsp
Gloucestershire County Council - Register Office,Shire Hall,Westgate Street,Gloucester,,GL1 2TG,http://www.gloucestershire.gov.uk/index.cfm?ArticleID=150
Hampshire County Council - Register Office,The Castle,Winchester,Hampshire,,SO23 8ZB,http://www3.hants.gov.uk/registration/registration-contact.htm
Hertfordshire County Council - Register Office,19b St Albans Road East,Hatfield,Hertfordshire,,AL10 0NG,http://www.hertsdirect.org/comdirectory/register/contactreg/
Kent County Council - Register Office,Invicta House,County Hall,Maidstone,,ME14 1XX,"http://www.kent.gov.uk/community_and_living/births,_deaths_and_ceremonies.aspx"
Lancashire County Council - Register Office,Bow Lane,PRESTON,,,PR1 8SE,http://www.lancashire.gov.uk/acs/sites/registration/contact/index.asp
Leicestershire County Council - Register Office,County Hall,Glenfield,Leicester,,LE3 8RN,http://www.leicestershire.gov.uk/registration_services
Lincolnshire County Council - Register Office,4 Lindum Road,Lincoln,,,LN2 1NN,http://www.lincolnshire.gov.uk/index.asp?catId=2944
Norfolk County Council - Register Office,Churchman House,71 Bethel Street,Norwich,,NR2 1NR,http://www.norfolk.gov.uk/consumption/idcplg?IdcService=SS_GET_PAGE&ssDocName=NCC006792&ssSourceNodeId=&ssTargetNodeId=54
Northamptonshire County Council - Register Office,Charles House,61-69 Derngate,Northampton,,NN1 1UE,http://www3.northamptonshire.gov.uk/Community/Registration/reg_home.htm
Northumberland Council - Register Office,94 New Gate Street,Morpeth,,,NE61 1BU,http://www.northumberland.gov.uk/register/register-office.asp
North Yorkshire County Council - Register Office,Bilton House,31 Park Parade,Harrogate,,HG1 5AG,http://www.northyorks.gov.uk/index.aspx?articleid=2849
Nottinghamshire County Council - Register Office,Fairdale House,47 Station Road,Carlton,,NG4 3AR,http://www.nottinghamshire.gov.uk/home/youandyourcommunity/registrars/registeroffices.htm
Oxfordshire County Council - Register Office,1 Tidmarsh Lane,Oxford,,,OX1 1NS,http://www.oxfordshire.gov.uk/registration
Shropshire Council - Register Office,Column Lodge,Preston Street,Shrewsbury,,SY2 5NY,http://www.shropshire.gov.uk/registrar.nsf/open/4F3206F3069D0B7780256D1E004B347D
Somerset County Council - Register Office,The Old Municipal Buildings,Corporation Street,Taunton,,TA1 4AQ,http://www.somerset.gov.uk/somerset/resources/registrationservice/registerofficesandopeninghours/
Staffordshire County Council - Register Office,79 Eastgate Street,Stafford,Staffordshire,,ST16 2NG,http://www.staffordshire.gov.uk/community/lifeevents/home.aspx
Suffolk County Council - Register Office,St Peter House,16 Grimwade Street,Ipswich,,IP4 1LP,http://www.suffolkcc.gov.uk/registerservice/other/about_suff_reg_off_grph.html
Surrey County Council - Register Office,County Hall,Penrhyn Road,Kingston upon Thames,,KT1 2DN,http://www.surreycc.gov.uk/sccwebsite/sccwspages.nsf/LookupWebPagesByTITLE_RTF/District+register+offices?opendocument
Warwickshire County Council - Register Office,Shire Hall,Warwick,,,CV34 4RR,http://www.warwickshire.gov.uk/Web/corporate/pages.nsf/links/55694AAF0C0A93D3802573840040895D 
West Sussex County Council - Register Office,County Hall,West Street,Chichester,,PO19 1RQ,http://www.westsussex.gov.uk/ccm/content/births-deaths-and-marriages/register-offices.en
Wiltshire Council - Register Office,The Chestnuts,Bythesea Road,Trowbridge,,BA14 8EZ,http://www.wiltshire.gov.uk/registration-office-contact-details.htm
Worcestershire County Council - Register Office,County Hall,Spetchley Road,Worcester,,WR5 2NP,http://worcestershire.whub.org.uk/home/wcc-mas-proper-officer-functions.htm
Isles of Scilly - Register Office,Town Hall ,St Mary's ,Isles of Scilly ,,TR21 0LW ,http://www.scilly.gov.uk/community/
Cheshire East Council - Register Office,Town Hall,Macclesfield ,,,SK10 1DP,http://www.cheshireeast.gov.uk/Default.aspx
Cheshire West and Chester Council - Register Office,County Hall,Chester,Cheshire,,CH1 1SF,http://www.cheshirewestandchester.gov.uk/community_and_living/int_registration.aspx
Central Bedfordshire Council - Register Office,Priory House,Monks Walk,Chicksands,,SG17 5TQ,http://www.centralbedfordshire.gov.uk/community-and-living/registration/
City of London - Register Office,Milton Court [Ground Floor],Moor Lane,London,,EC2Y 9BJ,http://www.cityoflondon.gov.uk/Corporation/LGNL_Services/Community_and_living/
London Borough of Barking and Dagenham - Register Office,198 Longbridge Road,Barking,,,IG11 8SY,http://www.barking-dagenham.gov.uk/8-leisure-envir/bdm-reg/bdm-menu.html
London Borough of Barnet - Register Office,182 Burnt Oak Broadway,Edgware, Middlesex,,HA8 0AU,http://www.registeroffice.barnet.gov.uk
London Borough of Bexley - Register Office,Manor House,The Green,Sidcup,,DA14 6BW,http://www.bexley.gov.uk/service/registrars/index.html
London Borough of Brent - Register Office,Brent Town Hall,Forty Lane,Wembley,,HA9 9HD,http://www.brent.gov.uk/registrar.nsf
