id,bsf_scheme_id,bsf_business_type_id
306,32,1
307,32,2
308,32,3
309,32,4
310,32,5
311,27,1
312,27,2
313,27,3
314,27,4
315,27,5
316,46,6
317,46,1
318,46,2
319,46,3
320,46,4
321,36,6
322,36,1
323,36,2
324,36,3
325,31,1
326,31,2
327,31,3
328,35,6
329,34,1
330,34,3
331,28,1
332,28,2
333,28,3
334,47,6
335,47,1
336,47,2
337,47,3
338,29,6
339,29,1
340,29,2
341,29,3
342,29,4
343,50,6
344,77,1
345,77,2
346,77,3
347,77,4
348,77,5
349,70,6
350,70,1
351,70,2
352,70,3
353,70,4
354,76,6
355,76,1
356,76,2
357,76,3
358,76,4
359,79,1
360,79,2
361,79,3
362,79,4
363,57,1
364,57,2
365,57,3
366,57,4
367,81,1
368,81,2
369,81,3
370,81,4
371,67,6
372,67,1
373,67,2
374,67,3
375,60,6
376,60,1
377,60,2
378,60,3
379,60,4
380,51,1
381,51,2
382,51,3
383,52,1
384,52,2
385,52,3
386,53,1
387,53,2
388,53,3
389,59,1
390,59,2
391,59,3
392,59,4
393,54,1
394,54,2
395,54,3
396,56,6
397,74,6
398,74,1
399,74,2
400,74,3
401,75,6
402,75,1
403,75,2
404,75,3
405,66,6
406,66,1
407,66,2
408,66,3
409,61,1
410,61,2
411,61,3
412,62,1
413,62,2
414,62,3
415,72,6
416,72,1
417,72,2
418,72,3
419,73,4
420,71,6
421,71,1
422,71,2
423,71,3
424,50,6
425,77,1
426,77,2
427,77,3
428,77,4
429,77,5
430,70,6
431,70,1
432,70,2
433,70,3
434,70,4
435,76,6
436,76,1
437,76,2
438,76,3
439,76,4
440,79,1
441,79,2
442,79,3
443,79,4
444,57,1
445,57,2
446,57,3
447,57,4
448,81,1
449,81,2
450,81,3
451,81,4
452,67,6
453,67,1
454,67,2
455,67,3
456,60,6
457,60,1
458,60,2
459,60,3
460,60,4
461,51,1
462,51,2
463,51,3
464,52,1
465,52,2
466,52,3
467,53,1
468,53,2
469,53,3
470,59,1
471,59,2
472,59,3
473,59,4
474,54,1
475,54,2
476,54,3
477,56,6
478,74,6
479,74,1
480,74,2
481,74,3
482,75,6
483,75,1
484,75,2
485,75,3
486,66,6
487,66,1
488,66,2
489,66,3
490,61,1
491,61,2
492,61,3
493,62,1
494,62,2
495,62,3
496,72,6
497,72,1
498,72,2
499,72,3
500,73,4
501,71,6
502,71,1
503,71,2
504,71,3
505,98,6
506,98,1
507,98,2
508,98,3
509,98,4
510,104,1
511,104,2
512,104,3
513,104,4
514,88,1
515,88,3
516,90,6
517,90,1
518,90,2
519,90,3
520,91,1
521,91,2
522,91,3
523,84,1
524,84,2
525,84,3
526,83,1
527,83,2
528,83,3
529,92,6
530,92,1
531,92,2
532,92,3
533,96,1
534,96,3
535,96,4
536,97,6
537,97,1
538,97,2
539,97,3
540,105,1
541,105,2
542,105,3
543,94,1
544,94,2
545,94,3
546,86,1
547,86,2
548,86,3
549,87,6
550,87,1
551,87,2
552,87,3
553,87,4
554,103,1
555,103,2
556,103,3
557,93,1
558,93,2
559,93,3
560,102,1
561,102,2
562,102,3
563,99,1
564,99,2
565,99,3
566,99,4
567,95,1
568,95,2
569,95,3
570,95,4
571,85,6
572,85,1
573,85,2
574,85,3
575,82,1
576,82,2
577,82,3
578,82,4
579,82,5
580,98,6
581,98,1
582,98,2
583,98,3
584,98,4
585,104,1
586,104,2
587,104,3
588,104,4
589,88,1
590,88,3
591,90,6
592,90,1
593,90,2
594,90,3
595,91,1
596,91,2
597,91,3
598,84,1
599,84,2
600,84,3
601,83,1
602,83,2
603,83,3
604,92,6
605,92,1
606,92,2
607,92,3
608,96,1
609,96,3
610,96,4
611,97,6
612,97,1
613,97,2
614,97,3
615,105,1
616,105,2
617,105,3
618,94,1
619,94,2
620,94,3
621,86,1
622,86,2
623,86,3
624,87,6
625,87,1
626,87,2
627,87,3
628,87,4
629,103,1
630,103,2
631,103,3
632,93,1
633,93,2
634,93,3
635,102,1
636,102,2
637,102,3
638,99,1
639,99,2
640,99,3
641,99,4
642,95,1
643,95,2
644,95,3
645,95,4
646,85,6
647,85,1
648,85,2
649,85,3
650,82,1
651,82,2
652,82,3
653,82,4
654,82,5
655,129,6
656,129,1
657,129,2
658,129,3
659,129,4
660,111,6
661,111,1
662,111,2
663,111,3
664,111,4
665,112,1
666,112,2
667,112,3
668,112,4
669,112,5
670,123,6
671,123,1
672,123,2
673,123,3
674,123,5
675,119,6
676,119,1
677,119,2
678,119,3
679,119,4
680,115,1
681,115,2
682,115,3
683,116,1
684,116,2
685,116,3
686,107,1
687,107,2
688,107,3
689,117,6
690,117,1
691,117,2
692,117,3
693,117,4
694,109,6
695,109,1
696,109,2
697,109,3
698,118,1
699,118,2
700,118,3
701,113,4
702,113,5
703,108,6
704,108,1
705,108,2
706,108,3
707,108,4
708,122,1
709,122,2
710,122,3
711,110,1
712,110,2
713,110,3
714,110,4
715,125,4
716,125,5
717,121,1
718,121,2
719,121,3
720,124,6
721,124,4
722,124,5
723,128,1
724,128,2
725,128,3
726,128,4
727,126,1
728,126,2
729,126,3
730,126,4
731,106,6
732,106,1
733,106,3
734,114,6
735,129,6
736,129,1
737,129,2
738,129,3
739,129,4
740,111,6
741,111,1
742,111,2
743,111,3
744,111,4
745,112,1
746,112,2
747,112,3
748,112,4
