id,bsf_scheme_id,bsf_type_id
1,1,1
2,1,2
3,2,1
4,2,2
5,3,3
6,4,4
7,5,5
8,6,5
9,7,5
10,8,1
11,8,2
12,9,4
13,10,4
14,11,4
15,12,4
16,13,2
17,13,3
18,14,4
19,15,1
20,15,2
21,16,1
22,16,2
23,17,1
24,17,2
25,18,2
26,18,3
27,19,2
28,19,3
29,20,2
30,20,3
31,21,1
32,21,2
33,22,2
34,22,3
35,23,1
36,23,2
37,24,1
38,24,2
39,25,1
40,25,2
41,26,2
42,26,3
43,27,1
44,27,2
45,28,1
46,28,2
47,29,4
48,30,2
49,30,3
50,31,2
51,31,3
52,32,1
53,32,2
54,33,2
55,33,3
56,34,1
57,34,2
58,35,4
59,36,2
60,36,3
61,37,1
62,37,2
63,38,4
64,39,4
65,40,4
66,41,4
67,42,4
68,43,4
69,44,4
70,45,2
71,45,3
72,46,4
73,47,1
74,47,2
75,48,1
76,48,2
77,49,1
78,49,2
79,50,4
80,51,1
81,51,2
82,52,1
83,52,2
84,53,1
85,53,2
86,54,1
87,54,2
88,55,1
89,55,2
90,56,1
91,57,4
92,58,4
93,59,2
94,59,3
95,60,4
96,61,4
97,62,1
98,62,2
99,63,4
100,64,4
101,65,4
102,66,4
103,67,4
104,68,4
105,69,1
106,69,2
107,70,4
108,71,1
109,71,2
110,72,1
111,72,2
112,73,4
113,74,4
114,75,4
115,76,1
116,76,2
117,77,1
118,77,2
119,78,1
120,78,2
121,79,4
122,80,4
123,81,4
124,82,4
125,83,1
126,83,2
127,84,1
128,84,2
129,85,4
130,86,1
131,86,2
132,87,1
133,87,2
134,88,2
135,88,6
136,89,5
137,90,1
138,90,2
139,91,1
140,91,2
141,92,1
142,92,2
143,93,1
144,93,2
145,94,1
146,94,2
147,95,4
148,96,2
149,96,3
150,97,4
151,98,4
152,99,4
153,100,1
154,100,2
155,101,1
156,101,2
157,102,1
158,102,2
159,103,1
160,103,2
161,104,2
162,104,3
163,105,1
164,105,2
165,106,4
