id,bsf_scheme_id,bsf_location_id
1,9,2
2,9,1
3,9,4
4,9,3
5,26,4
6,25,4
7,8,4
8,33,4
9,1,1
10,30,4
11,24,4
12,23,4
13,22,4
14,14,4
15,12,4
16,5,2
17,5,1
18,5,4
19,5,3
20,15,4
21,17,4
22,32,4
23,18,4
24,16,4
25,19,4
26,27,4
27,6,2
28,6,1
29,6,4
30,6,3
31,3,2
32,3,1
33,3,4
34,3,3
35,7,2
36,7,1
37,7,4
38,7,3
39,2,2
40,31,4
41,34,4
42,28,4
43,11,1
44,21,4
45,10,1
46,29,4
47,20,4
48,4,2
49,4,1
50,4,4
51,4,3
52,9,2
53,9,1
54,9,4
55,9,3
56,26,4
57,25,4
58,8,4
59,33,4
60,1,1
61,30,4
62,24,4
63,23,4
64,22,4
65,14,4
66,12,4
67,5,2
68,5,1
69,5,4
70,5,3
71,15,4
72,17,4
73,32,4
74,18,4
75,16,4
76,19,4
77,27,4
78,6,2
79,6,1
80,6,4
81,6,3
82,3,2
83,3,1
84,3,4
85,3,3
86,7,2
87,7,1
88,7,4
89,7,3
90,2,2
91,31,4
92,34,4
93,28,4
94,11,1
95,21,4
96,10,1
97,29,4
98,20,4
99,4,2
100,4,1
101,4,4
102,4,3
103,50,3
104,37,4
105,45,4
106,39,4
107,38,4
108,49,3
109,48,3
110,42,4
111,40,4
112,44,4
113,43,4
114,69,2
115,69,1
116,69,4
117,69,3
118,70,3
119,57,3
120,67,3
121,60,3
122,51,3
123,52,3
124,53,3
125,59,3
126,54,3
127,56,3
128,74,2
129,46,1
130,75,3
131,66,3
132,61,3
133,62,3
134,36,4
135,35,4
136,72,2
137,72,1
138,72,4
139,72,3
140,73,3
141,47,2
142,47,1
143,47,4
144,47,3
145,71,3
146,50,3
147,37,4
148,45,4
149,39,4
150,38,4
151,49,3
152,48,3
153,42,4
154,40,4
155,44,4
156,43,4
157,69,2
158,69,1
159,69,4
160,69,3
161,70,3
162,57,3
163,67,3
164,60,3
165,51,3
166,52,3
167,53,3
168,59,3
169,54,3
170,56,3
171,74,2
172,46,1
173,75,3
174,66,3
175,61,3
176,62,3
177,36,4
178,35,4
179,72,2
180,72,1
181,72,4
182,72,3
183,73,3
184,47,2
185,47,1
186,47,4
187,47,3
188,71,3
189,100,2
190,98,2
191,77,2
192,104,2
193,107,2
194,88,2
195,90,1
196,76,2
197,78,2
198,79,2
199,91,2
200,81,2
201,81,1
202,81,4
203,81,3
204,109,2
205,84,2
206,83,4
207,92,2
208,96,2
209,97,2
210,105,2
211,94,2
212,108,2
213,86,2
214,87,2
215,103,2
216,93,2
217,102,2
218,99,2
219,101,2
220,95,1
221,106,2
222,89,1
223,85,2
224,82,2
225,82,1
226,82,4
227,82,3
228,100,2
229,98,2
230,77,2
231,104,2
232,107,2
233,88,2
234,90,1
235,76,2
236,78,2
237,79,2
238,91,2
239,81,2
240,81,1
241,81,4
242,81,3
243,109,2
244,84,2
245,83,4
246,92,2
247,96,2
248,97,2
249,105,2
250,94,2
251,108,2
252,86,2
253,87,2
254,103,2
255,93,2
256,102,2
257,99,2
258,101,2
259,95,1
260,106,2
261,89,1
262,85,2
263,82,2
264,82,1
265,82,4
266,82,3
267,129,2
268,131,2
269,111,2
270,112,2
271,123,2
272,119,2
273,138,4
274,137,4
275,115,2
276,116,2
277,117,2
278,132,2
279,130,2
280,134,1
281,141,4
282,136,4
283,127,2
284,118,2
285,113,2
286,113,1
287,113,4
288,113,3
289,139,4
290,122,2
291,110,4
292,143,4
293,140,4
294,125,2
295,121,2
296,124,2
297,133,2
298,135,2
299,128,2
300,126,2
301,142,4
302,114,2
303,129,2
304,131,2
305,111,2
306,112,2
307,123,2
308,119,2
309,138,4
310,137,4
311,115,2
312,116,2
313,117,2
314,132,2
315,130,2
316,134,1
317,141,4
318,136,4
319,127,2
320,118,2
321,113,2
322,113,1
323,113,4
324,113,3
325,139,4
326,122,2
327,110,4
328,143,4
329,140,4
330,125,2
331,121,2
332,124,2
333,133,2
334,135,2
335,128,2
336,126,2
337,142,4
338,114,2
