id,bsf_scheme_id,bsf_stage_id
1,9,2
2,9,3
3,26,3
4,25,3
5,8,3
6,33,2
7,33,3
8,1,1
9,1,2
10,1,3
11,30,1
12,30,2
13,30,3
14,24,2
15,24,3
16,23,3
17,22,2
18,22,3
19,14,1
20,14,2
21,14,3
22,12,3
23,5,2
24,5,3
25,15,1
26,15,2
27,15,3
28,17,1
29,17,2
30,17,3
31,32,2
32,32,3
33,18,3
34,16,3
35,19,3
36,27,2
37,27,3
38,6,3
39,3,2
40,3,3
41,7,1
42,7,2
43,2,2
44,2,3
45,31,3
46,35,1
47,34,3
48,28,2
49,28,3
50,11,2
51,11,3
52,21,2
53,21,3
54,10,1
55,10,2
56,10,3
57,29,1
58,29,2
59,29,3
60,20,2
61,20,3
62,4,2
63,4,3
64,9,2
65,9,3
66,26,3
67,25,3
68,8,3
69,33,2
70,33,3
71,1,1
72,1,2
73,1,3
74,30,1
75,30,2
76,30,3
77,24,2
78,24,3
79,23,3
80,22,2
81,22,3
82,14,1
83,14,2
84,14,3
85,12,3
86,5,2
87,5,3
88,15,1
89,15,2
90,15,3
91,17,1
92,17,2
93,17,3
94,32,2
95,32,3
96,18,3
97,16,3
98,19,3
99,27,2
100,27,3
101,6,3
102,3,2
103,3,3
104,7,1
105,7,2
106,2,2
107,2,3
108,31,3
109,35,1
110,34,3
111,28,2
112,28,3
113,11,2
114,11,3
115,21,2
116,21,3
117,10,1
118,10,2
119,10,3
120,29,1
121,29,2
122,29,3
123,20,2
124,20,3
125,4,2
126,4,3
127,50,1
128,50,2
129,50,3
130,37,2
131,37,3
132,45,2
133,45,3
134,39,2
135,39,3
136,38,2
137,38,3
138,49,3
139,48,3
140,42,1
141,40,2
142,40,3
143,44,2
144,44,3
145,43,2
146,43,3
147,69,1
148,69,2
149,69,3
150,70,1
151,70,2
152,70,3
153,57,2
154,57,3
155,67,3
156,60,1
157,60,2
158,60,3
159,51,2
160,51,3
161,52,2
162,52,3
163,53,2
164,53,3
165,59,2
166,59,3
167,54,2
168,54,3
169,56,1
170,74,2
171,74,3
172,46,1
173,46,2
174,46,3
175,75,1
176,75,2
177,75,3
178,66,2
179,66,3
180,61,2
181,61,3
182,62,2
183,62,3
184,36,1
185,36,2
186,36,3
187,72,1
188,72,2
189,72,3
190,73,1
191,73,2
192,73,3
193,47,2
194,47,3
195,71,2
196,71,3
197,50,1
198,50,2
199,50,3
200,37,2
201,37,3
202,45,2
203,45,3
204,39,2
205,39,3
206,38,2
207,38,3
208,49,3
209,48,3
210,42,1
211,40,2
212,40,3
213,44,2
214,44,3
215,43,2
216,43,3
217,69,1
218,69,2
219,69,3
220,70,1
221,70,2
222,70,3
223,57,2
224,57,3
225,67,3
226,60,1
227,60,2
228,60,3
229,51,2
230,51,3
231,52,2
232,52,3
233,53,2
234,53,3
235,59,2
236,59,3
237,54,2
238,54,3
239,56,1
240,74,2
241,74,3
242,46,1
243,46,2
244,46,3
245,75,1
246,75,2
247,75,3
248,66,2
249,66,3
250,61,2
251,61,3
252,62,2
253,62,3
254,36,1
255,36,2
256,36,3
257,72,1
258,72,2
259,72,3
260,73,1
261,73,2
262,73,3
263,47,2
264,47,3
265,71,2
266,71,3
267,100,2
268,100,3
269,98,1
270,98,2
271,98,3
272,77,2
273,77,3
274,104,2
275,104,3
276,107,2
277,107,3
278,88,2
279,88,3
280,90,1
281,90,2
282,90,3
283,76,2
284,78,1
285,78,2
286,79,1
287,79,2
288,91,3
289,81,2
290,81,3
291,109,1
292,109,2
293,84,3
294,83,2
295,83,3
296,92,1
297,92,2
298,96,2
299,96,3
300,97,2
301,97,3
302,105,2
303,105,3
304,94,3
305,108,1
306,108,2
307,108,3
308,86,2
309,86,3
310,87,1
311,87,2
312,110,1
313,103,2
314,93,2
315,93,3
316,102,2
317,102,3
318,99,1
319,99,2
320,101,2
321,101,3
322,95,2
323,95,3
324,106,1
325,106,2
326,106,3
327,89,2
328,89,3
329,85,2
330,85,3
331,82,2
332,82,3
333,100,2
334,100,3
335,98,1
336,98,2
337,98,3
338,77,2
339,77,3
340,104,2
341,104,3
342,107,2
343,107,3
344,88,2
345,88,3
346,90,1
347,90,2
348,90,3
349,76,2
350,78,1
351,78,2
352,79,1
353,79,2
354,91,3
355,81,2
356,81,3
357,109,1
358,109,2
359,84,3
360,83,2
361,83,3
362,92,1
363,92,2
364,96,2
365,96,3
366,97,2
367,97,3
368,105,2
369,105,3
370,94,3
371,108,1
372,108,2
373,108,3
374,86,2
375,86,3
376,87,1
377,87,2
378,110,1
379,103,2
380,93,2
381,93,3
382,102,2
383,102,3
384,99,1
385,99,2
386,101,2
387,101,3
388,95,2
389,95,3
390,106,1
391,106,2
392,106,3
393,89,2
394,89,3
395,85,2
396,85,3
397,82,2
398,82,3
399,129,1
400,131,2
401,131,3
402,111,1
403,111,2
404,111,3
405,112,2
406,112,3
407,123,2
408,123,3
409,119,1
410,119,2
411,119,3
412,138,2
413,138,3
414,137,2
415,137,3
416,115,2
417,115,3
418,116,2
419,116,3
420,117,1
421,117,2
422,117,3
423,132,2
424,132,3
425,130,2
426,130,3
427,134,2
428,134,3
429,141,2
430,141,3
431,136,2
432,136,3
433,127,2
434,127,3
435,118,2
436,118,3
437,113,2
438,113,3
439,139,2
440,139,3
441,122,2
442,122,3
443,144,2
444,144,3
445,110,2
446,143,2
447,143,3
448,140,2
449,140,3
450,125,2
451,125,3
452,121,2
453,121,3
454,124,3
455,133,2
456,133,3
457,135,2
458,135,3
459,128,1
460,128,2
461,128,3
462,126,1
463,126,2
464,126,3
465,142,2
466,142,3
467,114,1
468,114,2
469,114,3
470,129,1
471,131,2
472,131,3
473,111,1
474,111,2
475,111,3
476,112,2
477,112,3
478,123,2
479,123,3
480,119,1
481,119,2
482,119,3
483,138,2
484,138,3
485,137,2
486,137,3
487,115,2
488,115,3
489,116,2
490,116,3
491,117,1
492,117,2
493,117,3
494,132,2
495,132,3
496,130,2
497,130,3
498,134,2
499,134,3
500,141,2
501,141,3
502,136,2
503,136,3
504,127,2
505,127,3
506,118,2
507,118,3
508,113,2
509,113,3
510,139,2
511,139,3
512,122,2
513,122,3
514,144,2
515,144,3
516,110,2
517,143,2
518,143,3
519,140,2
520,140,3
521,125,2
522,125,3
523,121,2
524,121,3
525,124,3
526,133,2
527,133,3
528,135,2
529,135,3
530,128,1
531,128,2
532,128,3
533,126,1
534,126,2
535,126,3
536,142,2
537,142,3
538,114,1
539,114,2
540,114,3
541,152,2
542,152,3
543,173,3
544,175,1
545,151,1
546,150,2
547,149,2
548,149,3
549,160,2
550,160,3
551,167,3
552,145,2
553,145,3
554,147,2
555,147,3
556,170,2
557,170,3
558,155,3
559,161,2
560,161,3
561,165,1
562,165,2
563,165,3
564,164,1
565,164,2
566,164,3
567,162,1
568,162,2
569,162,3
570,166,1
571,166,2
572,166,3
573,163,2
574,163,3
575,174,2
576,174,3
577,171,2
578,171,3
579,177,2
580,177,3
581,146,1
582,154,1
